time (UTC),latitude (degrees_north),longitude (degrees_east),tmp2m (K)
2026-09-14T15:00:00Z,90.0,0.0,268.0
2026-09-14T15:00:00Z,90.0,30.0,268.0
2026-09-14T15:00:00Z,90.0,60.0,268.0
2026-09-14T15:00:00Z,90.0,90.0,268.0
2026-09-14T15:00:00Z,90.0,120.0,268.0
2026-09-14T15:00:00Z,90.0,150.0,268.0
2026-09-14T15:00:00Z,90.0,180.0,268.0
2026-09-14T15:00:00Z,90.0,210.0,268.0
2026-09-14T15:00:00Z,90.0,240.0,268.0
2026-09-14T15:00:00Z,90.0,270.0,268.0
2026-09-14T15:00:00Z,90.0,300.0,268.0
2026-09-14T15:00:00Z,90.0,330.0,268.0
2026-09-14T15:00:00Z,60.0,0.0,286.4
2026-09-14T15:00:00Z,60.0,30.0,287.4
2026-09-14T15:00:00Z,60.0,60.0,284.5
2026-09-14T15:00:00Z,60.0,90.0,286.7
2026-09-14T15:00:00Z,60.0,120.0,273.8
2026-09-14T15:00:00Z,60.0,150.0,276.1
2026-09-14T15:00:00Z,60.0,180.0,282.4
2026-09-14T15:00:00Z,60.0,210.0,274.3
2026-09-14T15:00:00Z,60.0,240.0,278.9
2026-09-14T15:00:00Z,60.0,270.0,278.8
2026-09-14T15:00:00Z,60.0,300.0,279.4
2026-09-14T15:00:00Z,60.0,330.0,283.5
2026-09-14T15:00:00Z,30.0,0.0,311.7
2026-09-14T15:00:00Z,30.0,30.0,308.7
2026-09-14T15:00:00Z,30.0,60.0,304.1
2026-09-14T15:00:00Z,30.0,90.0,273.7
2026-09-14T15:00:00Z,30.0,120.0,293.7
2026-09-14T15:00:00Z,30.0,150.0,299.9
2026-09-14T15:00:00Z,30.0,180.0,298.2
2026-09-14T15:00:00Z,30.0,210.0,296.3
2026-09-14T15:00:00Z,30.0,240.0,292.9
2026-09-14T15:00:00Z,30.0,270.0,303.1
2026-09-14T15:00:00Z,30.0,300.0,301.0
2026-09-14T15:00:00Z,30.0,330.0,298.7
2026-09-14T15:00:00Z,0.0,0.0,297.2
2026-09-14T15:00:00Z,0.0,30.0,303.2
2026-09-14T15:00:00Z,0.0,60.0,301.3
2026-09-14T15:00:00Z,0.0,90.0,300.3
2026-09-14T15:00:00Z,0.0,120.0,297.0
2026-09-14T15:00:00Z,0.0,150.0,301.1
2026-09-14T15:00:00Z,0.0,180.0,301.6
2026-09-14T15:00:00Z,0.0,210.0,301.2
2026-09-14T15:00:00Z,0.0,240.0,300.2
2026-09-14T15:00:00Z,0.0,270.0,298.3
2026-09-14T15:00:00Z,0.0,300.0,310.5
2026-09-14T15:00:00Z,0.0,330.0,298.8
2026-09-14T15:00:00Z,-30.0,0.0,291.2
2026-09-14T15:00:00Z,-30.0,30.0,300.7
2026-09-14T15:00:00Z,-30.0,60.0,288.7
2026-09-14T15:00:00Z,-30.0,90.0,291.3
2026-09-14T15:00:00Z,-30.0,120.0,292.0
2026-09-14T15:00:00Z,-30.0,150.0,288.0
2026-09-14T15:00:00Z,-30.0,180.0,288.7
2026-09-14T15:00:00Z,-30.0,210.0,289.2
2026-09-14T15:00:00Z,-30.0,240.0,289.0
2026-09-14T15:00:00Z,-30.0,270.0,289.2
2026-09-14T15:00:00Z,-30.0,300.0,289.2
2026-09-14T15:00:00Z,-30.0,330.0,289.1
2026-09-14T15:00:00Z,-60.0,0.0,255.2
2026-09-14T15:00:00Z,-60.0,30.0,272.8
2026-09-14T15:00:00Z,-60.0,60.0,267.0
2026-09-14T15:00:00Z,-60.0,90.0,271.2
2026-09-14T15:00:00Z,-60.0,120.0,269.9
2026-09-14T15:00:00Z,-60.0,150.0,272.5
2026-09-14T15:00:00Z,-60.0,180.0,277.1
2026-09-14T15:00:00Z,-60.0,210.0,270.7
2026-09-14T15:00:00Z,-60.0,240.0,273.9
2026-09-14T15:00:00Z,-60.0,270.0,274.1
2026-09-14T15:00:00Z,-60.0,300.0,269.2
2026-09-14T15:00:00Z,-60.0,330.0,258.3
2026-09-14T15:00:00Z,-90.0,0.0,215.6
2026-09-14T15:00:00Z,-90.0,30.0,215.6
2026-09-14T15:00:00Z,-90.0,60.0,215.6
2026-09-14T15:00:00Z,-90.0,90.0,215.6
2026-09-14T15:00:00Z,-90.0,120.0,215.6
2026-09-14T15:00:00Z,-90.0,150.0,215.6
2026-09-14T15:00:00Z,-90.0,180.0,215.6
2026-09-14T15:00:00Z,-90.0,210.0,215.6
2026-09-14T15:00:00Z,-90.0,240.0,215.6
2026-09-14T15:00:00Z,-90.0,270.0,215.6
2026-09-14T15:00:00Z,-90.0,300.0,215.6
2026-09-14T15:00:00Z,-90.0,330.0,215.6
